unique_identifier,amount,date
BRI-00000,948.712175,2024-08-01
BRI-00001,227.307250,2024-01-17
BRI-00002,633.558852,2024-06-04
BRI-00003,78.955410,2024-03-04
BRI-00004,-657.611181,2024-04-29
BRI-00005,340.033566,2023-10-03
BRI-00006,655.995862,2024-06-18
BRI-00007,-277.801444,2024-02-10
BRI-00008,-94.954652,2023-12-08
BRI-00009,770.515631,2024-07-19
BRI-00010,-251.667239,2023-12-19
BRI-00011,918.657939,2023-09-26
BRI-00012,591.688436,2023-09-24
BRI-00013,-329.324268,2023-10-28
BRI-00014,890.494347,2024-02-08
BRI-00015,12.853149,2024-04-05
BRI-00016,-842.667333,2024-07-05
BRI-00017,-590.778532,2024-07-31
BRI-00018,-161.746065,2024-04-01
BRI-00019,-302.084636,2023-09-03
BRI-00020,-556.244727,2024-02-04
BRI-00021,315.857125,2024-08-09
BRI-00022,-492.444647,2023-10-01
BRI-00023,739.540255,2024-08-27
BRI-00024,-405.507041,2023-09-05
BRI-00025,-888.507650,2024-06-27
BRI-00026,813.815789,2024-03-10
BRI-00027,949.227248,2023-12-04
BRI-00028,-46.840091,2024-01-14
BRI-00029,689.054393,2024-03-13
BRI-00030,64.313904,2023-10-06
BRI-00031,866.356687,2024-03-27
BRI-00032,-428.786151,2024-05-31
BRI-00033,-569.421346,2024-04-11
BRI-00034,-402.552985,2024-05-29
BRI-00035,-467.710278,2023-12-03
BRI-00036,-994.625272,2024-08-22
BRI-00037,791.195926,2023-10-24
BRI-00038,349.998171,2023-09-25
BRI-00039,-831.893102,2023-09-11
BRI-00040,164.846891,2023-12-25
BRI-00041,-584.551248,2024-03-14
BRI-00042,272.993096,2024-08-20
BRI-00043,-642.320845,2024-06-13
BRI-00044,949.637883,2023-09-26
BRI-00045,-11.874086,2024-01-20
BRI-00046,535.129557,2024-06-08
BRI-00047,366.301468,2024-05-24
BRI-00048,-167.911424,2023-09-13
BRI-00049,441.113593,2024-04-22
BRI-00050,-909.195776,2023-10-06
BRI-00051,-51.132828,2023-12-17
BRI-00052,764.982466,2023-12-16
BRI-00053,-272.573929,2024-04-23
BRI-00054,568.609778,2023-10-13
BRI-00055,-648.671431,2023-11-21
BRI-00056,-791.540155,2023-11-15
BRI-00057,725.825180,2023-10-14
BRI-00058,-35.720321,2024-06-25
BRI-00059,-109.733964,2024-03-07
