unique_identifier,amount,date
DANAMON-00000,878.361520,2023-11-11
DANAMON-00001,802.551494,2024-05-14
DANAMON-00002,-389.909178,2024-03-02
DANAMON-00003,-826.353939,2023-10-31
DANAMON-00004,-222.911757,2024-01-29
DANAMON-00005,-828.235032,2024-06-30
DANAMON-00006,325.388424,2024-03-07
DANAMON-00007,375.942437,2024-03-23
DANAMON-00008,-631.039936,2024-06-23
DANAMON-00009,-936.248410,2023-10-01
DANAMON-00010,-508.723852,2024-06-11
DANAMON-00011,-306.172630,2024-04-19
DANAMON-00012,-697.013978,2024-02-23
DANAMON-00013,80.533195,2024-04-25
DANAMON-00014,-484.298599,2023-11-10
DANAMON-00015,185.542228,2024-01-21
DANAMON-00016,486.600077,2023-09-14
DANAMON-00017,-138.854170,2023-11-28
DANAMON-00018,540.766033,2024-06-08
DANAMON-00019,944.525237,2024-01-26
DANAMON-00020,-252.158043,2024-02-15
DANAMON-00021,761.941053,2024-02-04
DANAMON-00022,632.403921,2024-03-21
DANAMON-00023,34.520433,2023-09-26
DANAMON-00024,807.892689,2024-04-26
DANAMON-00025,-514.370691,2024-05-20
DANAMON-00026,-391.386875,2023-11-13
DANAMON-00027,835.378431,2024-06-15
DANAMON-00028,449.939963,2023-10-01
DANAMON-00029,746.520817,2024-07-15
DANAMON-00030,752.994950,2024-02-11
DANAMON-00031,719.013875,2024-05-03
DANAMON-00032,979.607375,2023-10-20
DANAMON-00033,-309.214513,2023-12-05
DANAMON-00034,741.317737,2023-11-30
DANAMON-00035,-856.600156,2024-02-15
DANAMON-00036,24.092415,2024-06-08
DANAMON-00037,-890.425962,2023-09-26
DANAMON-00038,141.460572,2024-07-05
DANAMON-00039,627.048249,2024-03-08
DANAMON-00040,-213.500640,2024-08-10
DANAMON-00041,294.177943,2024-05-05
DANAMON-00042,145.836251,2024-03-12
DANAMON-00043,605.167311,2023-10-02
DANAMON-00044,602.112611,2023-12-31
DANAMON-00045,983.772661,2024-07-11
DANAMON-00046,356.797313,2024-08-25
DANAMON-00047,-746.877956,2024-02-29
DANAMON-00048,-774.071731,2024-04-22
DANAMON-00049,-648.520117,2023-09-01
DANAMON-00050,489.257589,2024-03-31
DANAMON-00051,345.833042,2023-11-22
DANAMON-00052,-779.891323,2023-11-02
DANAMON-00053,-290.779357,2024-03-28
DANAMON-00054,-780.974766,2024-05-06
DANAMON-00055,133.750947,2023-10-19
DANAMON-00056,-75.619731,2024-04-03
DANAMON-00057,-725.215704,2024-08-09
DANAMON-00058,-387.636263,2024-05-27
DANAMON-00059,-917.711110,2024-04-02
DANAMON-00060,302.534060,2024-03-26
DANAMON-00061,-357.937044,2023-11-15
DANAMON-00062,221.669613,2024-05-07
DANAMON-00063,523.340327,2024-08-18
DANAMON-00064,114.423691,2024-01-12
DANAMON-00065,-431.060931,2023-11-28
DANAMON-00066,456.606794,2024-05-07
DANAMON-00067,-384.433369,2023-12-09
DANAMON-00068,-796.835533,2024-05-17
DANAMON-00069,-469.944812,2024-03-24
DANAMON-00070,-112.618126,2024-07-24
DANAMON-00071,422.950225,2023-12-23
DANAMON-00072,940.073646,2024-08-09
DANAMON-00073,-939.352443,2024-03-15
DANAMON-00074,-249.719228,2023-12-26
DANAMON-00075,-245.619065,2023-12-10
DANAMON-00076,751.555453,2024-02-13
DANAMON-00077,-502.895937,2023-10-07
DANAMON-00078,169.790602,2024-06-23
DANAMON-00079,724.618349,2024-02-25
